title,covered_by,chapter,status
ranking engineer,Machine learning engineer,23,stable
Recommender systems engineer,Machine learning engineer,23,stable
red team operator,"Security specialisations (appsec, SOC, incident response, GRC)",25,growing
regulated medical software engineer,Medical device software,25,profiled
remote contracting,Global-remote contracting from a talent-exporting region,28,profiled
remote sensing engineer,Geospatial engineering and earth observation,26,profiled
reporting analyst,Entry-level data analyst,24,contracting
research associate,Postdoctoral researcher,27,profiled
Research computing and high-performance computing,Research computing and high-performance computing,26,profiled
research fellow,Postdoctoral researcher,27,profiled
research migration route,The funded doctorate as a route abroad,27,profiled
research scientist,Industrial research scientist,27,profiled
research software engineer,Research computing and high-performance computing,26,profiled
reverse engineer,not profiled,25,stable
RF engineer,Telecom network and OSS/BSS systems,25,stable
Robotics and automation software,Robotics and automation software,26,profiled
robotics software engineer,Robotics and automation software,26,profiled
RTL design engineer,not profiled,29,growing
Rust systems engineer,not profiled,23,growing
S/4HANA functional,"SAP S/4HANA (ABAP, Basis, functional)",25,profiled
Sales engineer,not profiled,28,stable
Salesforce administrator,Salesforce administrator,24,profiled
SaMD developer,Medical device software,25,profiled
SAP Basis,"SAP S/4HANA (ABAP, Basis, functional)",25,profiled
SAP consultant,"SAP S/4HANA (ABAP, Basis, functional)",25,profiled
"SAP S/4HANA (ABAP, Basis, functional)","SAP S/4HANA (ABAP, Basis, functional)",25,profiled
satellite software engineer,Defence and aerospace software,25,growing
SCADA engineer,Industrial automation and OT security,25,profiled
scientific computing specialist,Research computing and high-performance computing,26,profiled
scrum master,not profiled,24,stable
SDE,Backend engineer,23,stable
SDET,Manual QA / software tester,24,absorbed
secure software developer,"Security specialisations (appsec, SOC, incident response, GRC)",25,growing
Security architect,not profiled,25,growing
security content engineer,not profiled,25,growing
Security generalist,Security generalist,23,profiled
security operations,"Security specialisations (appsec, SOC, incident response, GRC)",25,profiled
security operations centre analyst,"Security specialisations (appsec, SOC, incident response, GRC)",25,growing
security researcher (independent),not profiled,28,stable
"Security specialisations (appsec, SOC, incident response, GRC)","Security specialisations (appsec, SOC, incident response, GRC)",25,profiled
self-driving engineer,Robotics and automation software,26,growing
Semiconductor process engineer,not profiled,29,growing
service desk analyst,IT support / helpdesk,24,contracting
ServiceNow administrator,"SAP S/4HANA (ABAP, Basis, functional)",25,growing
ServiceNow architect,"SAP S/4HANA (ABAP, Basis, functional)",25,growing
ServiceNow developer,"SAP S/4HANA (ABAP, Basis, functional)",25,growing
Shopify developer,not profiled,24,contracting
silicon photonics engineer,not profiled,29,growing
simulation engineer (industrial),Industrial automation and OT security,25,growing
Small software products,Small software products,28,profiled
smart contract auditor,not profiled,29,stable
smart contract engineer,not profiled,29,stable
SOC analyst,"Security specialisations (appsec, SOC, incident response, GRC)",25,growing
Software developer,Backend engineer,23,stable
software development engineer in test,Manual QA / software tester,24,absorbed
software engineer,Backend engineer,23,stable
Software quality assurance analyst and tester,Manual QA / software tester,24,absorbed
solutions architect,not profiled,25,growing
solutions engineer,not profiled,28,stable
solutions engineer (AI),not profiled,29,growing
Space systems software engineer,Defence and aerospace software,25,growing
sponsored developer,Open source maintainer,28,profiled
Sports analytics engineer,not profiled,26,stable
Statistician,not profiled,27,stable
Storage engineer,not profiled,25,stable
support engineer,not profiled,24,stable
sustainability data engineer,Climate and energy systems software,26,growing
sysadmin,not profiled,30,contracting
systems administrator,not profiled,30,contracting
systems analyst,not profiled,24,stable
Systems engineer,not profiled,23,stable
Systems programmer,not profiled,23,stable
talent partner (technical),not profiled,29,contracting
teaching professor,Teaching-focused faculty,27,profiled
Teaching-focused faculty,Teaching-focused faculty,27,profiled
technical account manager,not profiled,24,stable
technical architect,not profiled,25,growing
technical consultant,"SAP S/4HANA (ABAP, Basis, functional)",25,stable
Technical education and content,Technical education and content,28,profiled
Technical product manager,not profiled,24,stable
technical program manager,not profiled,24,stable
Technical programme manager,not profiled,24,stable
Technical recruiter,not profiled,29,contracting
technical writer,Technical education and content,28,profiled
Telecom network and OSS/BSS systems,Telecom network and OSS/BSS systems,25,profiled
Temenos developer,Core banking and payments engineering,25,profiled
tenure-track faculty,The academic path: doctorate to tenure-track faculty,27,profiled
test automation engineer,Manual QA / software tester,24,absorbed
The academic path: doctorate to tenure-track faculty,The academic path: doctorate to tenure-track faculty,27,profiled
The funded doctorate as a route abroad,The funded doctorate as a route abroad,27,profiled
threat and warning analyst,not profiled,25,growing
Threat intelligence analyst,not profiled,25,growing
TPM,not profiled,24,stable
UAS engineer,not profiled,29,growing
UI developer,Junior UX / UX research,24,contracting
unmanned systems engineer,not profiled,29,growing
UX engineer,Junior UX / UX research,24,contracting
validation engineer,not profiled,25,stable
VLSI design engineer,not profiled,29,growing
Vulnerability assessment analyst,not profiled,25,stable
warehouse automation engineer,Robotics and automation software,26,profiled
Web and digital interface designer,Junior UX / UX research,24,contracting
Web developer,Generalist frontend / web development,24,contracting
web3 developer,not profiled,29,stable
WebAssembly engineer,not profiled,23,growing
wireless engineer,Telecom network and OSS/BSS systems,25,stable
WordPress developer,not profiled,24,contracting
Workday consultant,"SAP S/4HANA (ABAP, Basis, functional)",25,stable
Workday integration developer,"SAP S/4HANA (ABAP, Basis, functional)",25,stable
yield engineer,not profiled,29,growing
z/OS developer,Mainframe / COBOL developer,25,profiled
